age,annual_income,loan_amount,credit_score,employment_years,existing_loans,debt_to_income_ratio,loan_term_months,default
59,61663,15461,529,9,0,0.26,48,0
26,39095,11294,529,3,0,0.57,48,1
28,25503,22484,509,13,1,0.34,36,1
47,42217,21041,768,0,0,0.28,24,0
29,30059,15917,576,0,1,0.03,36,1
57,30975,11887,678,0,1,0.82,48,0
53,22212,11498,792,0,2,0.33,48,0
62,51908,10454,676,2,2,0.11,60,0
64,107657,28379,691,14,3,0.2,24,0
44,64800,27093,582,5,1,0.52,36,1
35,46495,26404,676,5,0,0.2,48,1
52,48036,7107,570,2,2,0.41,24,0
52,10679,10768,497,3,3,0.44,12,1
44,39659,11447,654,1,0,0.3,48,1
61,24020,9286,675,3,1,0.24,48,0
32,52428,40845,607,6,0,0.38,36,0
59,43045,16988,590,4,3,0.43,12,0
22,31740,16271,632,2,3,0.11,36,1
23,51841,10101,591,9,1,0.02,48,0
57,51618,22409,709,1,4,0.52,36,0
37,104747,49757,685,3,4,0.44,12,0
22,69093,14024,780,19,2,0.4,36,1
22,54638,11613,621,17,1,0.24,36,0
48,30523,12652,655,0,0,0.52,24,1
43,28660,11012,663,3,6,0.52,36,0
57,66133,13336,620,2,1,0.36,36,0
52,44354,9256,491,1,0,0.31,60,1
53,55530,7848,685,4,3,0.41,48,0
21,79937,13190,836,2,1,0.39,48,0
39,23004,14025,729,6,2,0.26,24,0
22,98569,11340,806,0,2,0.11,36,1
64,79593,32022,721,13,1,0.39,24,0
46,17549,17142,637,4,3,0.33,24,1
52,158981,20857,698,5,2,0.46,36,0
26,57566,21192,735,4,0,0.61,24,0
52,38589,14225,521,22,0,0.16,24,0
24,63546,15232,685,21,1,0.42,48,0
31,30069,7973,642,4,2,0.13,12,0
37,64412,19803,768,5,2,0.56,48,1
58,32966,10938,679,4,1,0.2,48,0
44,134615,9101,453,1,2,0.24,48,0
25,50516,29178,685,1,1,0.26,24,1
54,67840,6006,485,2,2,0.39,48,1
26,33089,37475,751,5,2,0.39,36,0
42,73736,35737,588,0,1,0.44,36,0
31,48713,11691,559,3,1,0.53,36,0
36,24199,38992,588,2,1,0.31,24,1
53,43504,7840,578,3,0,0.25,12,0
29,128740,24256,637,9,1,0.21,48,0
26,75319,13495,581,0,0,0.37,36,0
36,40558,4519,625,7,1,0.35,24,0
49,19252,9148,526,5,1,0.14,36,0
23,32330,12031,629,1,3,0.46,48,0
40,24264,21320,763,6,0,0.29,36,0
56,19486,10034,614,3,2,0.58,48,0
39,72605,11340,699,3,1,0.33,36,0
46,50574,18482,549,3,1,0.19,48,1
23,120277,17905,696,14,3,0.39,36,0
39,29767,12644,741,14,0,0.51,24,0
40,48964,11139,764,12,2,0.41,48,0
52,24414,23472,666,10,1,0.54,48,0
27,36408,11102,703,0,1,0.23,48,0
61,43868,6544,547,2,1,0.45,36,1
53,40646,10544,619,11,2,0.53,36,0
60,50350,18547,585,7,0,0.4,36,0
59,79682,12215,676,3,2,0.51,12,0
38,75599,9880,607,7,1,0.37,12,0
60,33367,6292,704,1,2,0.52,24,0
21,48282,12254,847,4,1,0.45,60,0
31,72914,15317,699,3,0,0.3,36,0
48,82278,7299,762,4,4,0.3,36,0
45,35221,11925,555,6,0,0.44,36,0
43,69848,6930,643,14,0,0.29,12,0
51,57847,12366,667,1,1,0.38,24,0
50,28767,37620,655,7,2,0.35,12,0
62,73136,14809,797,5,3,0.22,48,0
55,52879,5172,590,5,0,0.34,60,0
27,20523,16296,675,2,3,0.27,24,1
36,42322,29351,455,14,0,0.39,36,1
46,50007,5822,683,3,1,0.38,24,0
22,36209,7134,690,0,1,0.31,48,0
21,90591,15599,645,5,2,0.33,24,1
32,92247,12679,681,0,0,0.14,36,0
25,40487,27631,604,1,0,0.46,36,0
57,38326,11987,552,1,2,0.28,36,1
52,45907,21922,570,3,1,0.5,12,1
29,44354,33418,581,2,1,0.07,48,1
61,36451,7938,546,0,1,0.46,48,1
55,7674,20922,543,7,2,0.3,12,1
39,117878,10503,583,3,1,0.55,48,1
36,49031,3536,621,3,0,0.54,48,0
23,44839,17779,660,10,1,0.7,24,1
40,57675,19142,552,3,1,0.49,60,0
44,47097,5273,575,6,3,0.23,24,0
53,39531,10174,600,1,1,0.49,36,1
44,29648,9192,684,4,1,0.39,36,0
31,19549,21720,554,6,1,0.24,48,1
28,24904,5273,608,1,1,0.49,36,0
56,28047,14243,727,5,2,0.36,36,0
58,67877,3281,586,4,0,0.74,36,0
60,70425,16776,550,2,1,0.41,48,0
40,31542,14401,643,6,2,0.32,36,1
55,12941,9832,583,1,0,0.04,24,0
45,49244,31475,429,6,3,0.04,36,0
55,39704,2768,665,4,1,0.29,24,0
45,39217,13214,719,1,0,0.46,36,1
49,79060,27407,648,5,3,0.51,48,0
38,52539,14433,733,10,1,0.49,24,0
38,30085,30322,701,1,2,0.06,36,1
22,26817,10195,581,8,0,0.25,36,0
55,42988,12084,813,2,2,0.22,48,0
36,31156,27999,675,8,0,0.48,48,0
61,47278,22850,684,0,0,0.3,36,0
56,81884,56362,570,0,0,0.54,36,0
53,24590,14209,526,0,0,0.36,48,0
24,51220,15065,563,10,3,0.3,48,1
53,77460,10129,723,3,0,0.33,36,0
34,46953,11820,786,4,2,0.14,24,0
41,70318,25510,673,9,1,0.27,36,0
40,42461,13357,657,0,2,0.43,60,0
28,53391,8230,727,2,4,0.33,36,0
27,61107,10661,760,5,1,0.13,48,0
23,36827,12654,533,2,1,0.01,12,0
37,132632,8556,780,0,3,0.15,36,0
53,65433,10149,619,5,3,0.19,36,0
32,94041,7332,736,2,0,0.49,36,0
42,83743,10367,564,0,1,0.17,48,1
42,57736,26895,732,0,1,0.28,48,0
50,98016,13753,535,1,2,0.17,60,1
58,53849,58500,739,3,0,0.4,24,1
58,34033,8447,701,1,1,0.45,36,0
28,49385,17877,524,2,0,0.44,36,0
47,29641,15265,752,6,2,0.34,36,1
47,17139,19737,571,8,0,0.38,36,0
54,32007,9286,741,7,2,0.49,48,0
41,50840,10709,661,5,1,0.3,60,1
50,83363,17057,550,3,2,0.32,36,1
53,31959,9869,568,3,3,0.5,60,0
48,81233,4609,850,15,1,0.34,36,0
53,26759,29327,834,10,3,0.36,48,0
25,30953,22762,633,5,0,0.55,24,1
39,101172,10401,683,3,1,0.29,12,0
24,50202,15229,746,6,0,0.47,12,0
55,44944,24442,546,0,1,0.45,48,1
37,55140,29927,705,14,2,0.38,12,0
64,26817,14222,728,3,3,0.37,36,0
48,41546,9403,678,3,1,0.12,36,0
50,49086,32162,761,1,0,0.63,48,0
49,90734,14140,662,0,3,0.32,36,0
26,21264,12230,738,0,4,0.44,36,0
55,118361,15645,668,1,2,0.5,36,0
61,46058,26711,527,3,4,0.4,24,1
57,28133,13052,725,0,0,0.54,24,0
44,25698,24139,754,17,1,0.49,24,0
49,56194,11788,637,2,3,0.07,24,0
51,24994,19253,542,1,2,0.35,48,1
55,37046,7563,719,3,2,0.03,36,0
53,43262,25381,675,0,1,0.31,36,1
41,86841,8905,673,9,2,0.22,48,0
52,81570,17598,665,3,1,0.21,36,0
43,35543,5475,730,0,2,0.37,48,0
53,44075,13560,673,0,4,0.45,24,1
23,22077,14956,612,2,3,0.11,48,1
38,17684,8876,520,4,2,0.68,36,0
45,26515,12508,613,2,0,0.42,48,1
62,85952,15634,722,4,2,0.34,12,0
51,72405,18731,623,6,2,0.34,48,0
23,59380,14187,722,6,3,0.09,24,0
60,23651,29716,536,2,0,0.25,48,0
44,34343,26767,569,6,2,0.19,24,0
52,31923,13116,564,0,2,0.25,12,1
42,45116,6013,660,3,1,0.44,24,0
43,43716,9974,793,0,2,0.23,36,0
22,29703,3507,829,1,1,0.41,24,0
47,58372,11969,734,4,1,0.44,12,0
62,54966,30978,493,6,2,0.38,60,1
22,34050,21474,589,0,2,0.65,12,1
46,57076,14046,406,1,0,0.39,24,0
37,86003,8634,663,24,0,0.57,24,0
60,100110,14376,779,2,0,0.63,36,0
53,62650,47989,715,1,1,0.33,24,1
29,61736,32617,508,0,0,0.8,48,1
63,43474,12207,761,5,1,0.54,60,1
59,82031,5490,746,3,2,0.2,36,0
49,28704,50254,773,0,0,0.54,36,1
62,77414,8627,738,5,0,0.25,60,0
46,42454,18362,607,3,3,0.43,48,1
55,103307,5243,501,4,2,0.52,36,1
45,65782,11005,743,26,0,0.48,48,0
44,47385,5230,712,0,0,0.26,24,0
33,43553,6653,492,12,2,0.22,12,1
27,63755,7670,572,9,1,0.19,12,0
56,62228,17786,575,2,0,0.59,36,1
40,40168,12611,708,10,1,0.49,36,0
21,51324,68006,648,5,0,0.54,24,1
28,76741,26377,628,11,2,0.09,48,0
36,24793,26723,616,4,2,0.46,36,1
34,70469,18073,559,1,1,0.25,36,0
32,63615,15766,727,4,0,0.18,36,0
43,88727,27267,591,0,1,0.15,12,0
35,34275,3201,742,0,1,0.36,48,0
48,49161,9197,538,5,3,0.31,24,0
54,54313,5905,610,14,2,0.43,24,0
22,70926,4313,807,4,1,0.37,36,0
52,60752,8423,668,7,0,0.45,24,0
43,26376,6709,610,0,0,0.33,36,0
42,56699,27351,599,5,1,0.23,48,0
45,133534,14114,580,6,2,0.5,36,1
42,66561,3999,686,0,1,0.43,60,0
42,111193,16129,721,0,3,0.35,60,0
62,82580,7278,670,7,2,0.35,60,1
26,96877,13868,645,2,1,0.29,24,1
35,57238,16919,698,2,1,0.45,48,0
63,63635,8516,537,12,0,0.44,24,0
57,55701,15220,680,24,0,0.2,36,0
53,49127,17004,684,7,4,0.59,48,0
28,71047,12105,671,7,0,0.32,12,0
64,37778,8675,605,1,2,0.29,24,0
64,125830,13384,587,1,1,0.53,48,0
25,30822,12287,545,19,3,0.45,36,0
59,73548,16153,767,5,1,0.43,48,1
24,97668,11404,645,5,2,0.45,24,1
26,44877,6534,616,1,2,0.53,60,1
52,28099,12071,608,10,1,0.19,36,0
50,87357,16252,573,0,0,0.26,48,0
55,54268,14929,607,1,0,0.58,48,0
60,73618,12499,746,0,1,0.24,60,0
36,46410,9976,696,6,2,0.19,36,1
33,116536,9672,716,6,0,0.41,36,0
62,17008,10293,726,3,0,0.29,36,0
50,59165,25481,825,0,3,0.44,60,0
39,95882,7565,652,10,0,0.33,48,0
37,51671,14109,615,15,1,0.29,36,1
39,57021,6280,684,1,4,0.2,48,0
48,39458,21138,701,9,0,0.43,48,0
46,49530,9684,647,18,0,0.32,60,0
57,21249,8140,578,1,2,0.38,36,0
46,34227,15203,664,1,0,0.23,12,0
43,33077,3051,693,18,0,0.42,12,1
29,68498,6126,677,0,0,0.35,48,0
32,36839,16589,502,1,3,0.34,48,0
21,37375,24557,522,6,2,0.42,48,1
21,40580,17510,707,4,0,0.04,48,0
54,33714,14525,620,5,4,0.19,36,0
52,56078,56739,827,6,0,0.32,12,0
45,59208,17940,757,5,0,0.37,48,0
60,74050,7138,548,2,0,0.4,24,1
21,67939,24705,732,1,0,0.25,60,0
36,64626,9094,778,2,0,0.4,24,0
59,41585,8734,614,8,3,0.29,12,0
25,40273,5833,643,13,0,0.24,36,0
42,31710,10437,606,3,1,0.44,36,0
49,31425,6388,560,0,0,0.46,60,0
23,54021,18665,776,13,0,0.45,36,0
32,34210,12391,442,0,0,0.38,12,1
46,102146,5904,596,0,1,0.4,60,0
36,48110,12725,616,10,0,0.4,48,0
57,103849,24253,662,4,2,0.49,60,0
42,65243,35360,550,2,1,0.57,36,0
49,33235,4565,758,13,3,0.51,24,0
34,47523,8374,503,16,3,0.14,36,1
48,21232,6163,504,2,1,0.28,24,1
25,53917,16516,654,10,1,0.61,24,0
50,34791,5736,547,5,0,0.11,60,1
25,28092,25223,666,1,1,0.29,60,1
32,104932,27507,590,14,3,0.63,60,1
36,82067,21826,714,0,2,0.17,36,1
46,80944,8687,575,1,3,0.23,24,0
46,72479,9021,765,2,0,0.33,24,0
41,26437,10157,700,5,4,0.15,36,0
59,40125,25927,589,0,0,0.48,36,1
56,41367,4823,699,11,1,0.43,48,0
53,20850,16842,661,5,0,0.52,36,0
50,37104,7630,712,1,2,0.11,48,0
57,37307,10387,697,5,3,0.43,60,0
43,52208,20778,678,3,2,0.35,48,1
30,173892,5381,655,2,1,0.11,36,0
25,48511,11309,722,0,0,0.65,60,1
56,52221,12365,743,4,0,0.2,60,0
54,43256,13063,660,0,1,0.42,36,0
51,70887,12557,698,8,0,0.3,36,0
30,28653,18657,724,0,1,0.44,12,0
39,126502,10186,778,2,1,0.27,60,0
52,46070,16634,764,2,1,0.48,12,0
21,40231,16283,732,4,0,0.58,36,0
25,79619,15861,616,0,2,0.37,48,0
24,31399,18337,544,1,0,0.11,48,1
36,70236,15823,694,1,3,0.17,36,0
44,98971,12659,694,4,0,0.62,48,0
36,43448,6239,618,1,0,0.44,48,1
22,136819,30161,543,0,1,0.32,12,0
48,67652,36929,782,0,3,0.51,60,1
52,68073,10768,684,9,1,0.3,36,0
47,97045,17568,553,17,2,0.48,24,1
40,110787,9618,639,6,2,0.06,36,0
44,55877,8672,542,2,1,0.29,48,1
32,73017,13810,704,0,3,0.22,48,0
55,98535,72003,798,3,1,0.14,48,0
53,27421,34794,635,3,0,0.25,36,0
53,20645,31803,642,2,1,0.33,48,1
63,47630,18238,627,2,1,0.26,36,0
57,20399,7703,632,3,0,0.42,60,0
32,41898,24886,587,0,2,0.36,60,1
23,57364,2427,760,0,0,0.27,24,0
21,42709,16890,665,0,0,0.52,36,0
53,45670,25815,655,1,0,0.46,36,0
60,29707,14630,631,1,2,0.4,36,1
30,72698,36156,548,0,1,0.17,36,1
63,28803,5678,725,1,0,0.4,36,0
64,17129,34906,763,1,2,0.44,36,0
49,44193,12153,501,0,0,0.48,36,0
33,77459,31903,706,1,1,0.28,36,1
32,51017,24639,718,2,4,0.53,36,1
51,27380,33138,752,6,1,0.52,36,0
22,51584,23987,746,15,1,0.58,60,0
55,61031,20234,850,12,1,0.15,36,1
43,51285,30324,682,3,2,0.29,24,1
37,42946,13811,729,3,1,0.15,36,1
46,62506,19175,650,0,2,0.23,48,0
28,20553,13330,585,17,0,0.14,36,0
49,31351,8852,706,7,0,0.19,24,0
46,25524,18327,729,9,1,0.45,36,0
30,96200,15033,677,1,0,0.28,36,0
46,69983,28401,517,2,1,0.18,60,1
54,53774,11904,534,0,2,0.65,12,0
61,23734,8464,711,14,2,0.4,36,0
27,71116,28164,620,1,4,0.19,36,1
24,98053,13877,678,4,0,0.31,24,1
31,65234,8310,688,0,1,0.38,36,0
49,48166,30743,640,8,0,0.3,36,0
56,67228,23296,629,1,1,0.27,12,1
45,56187,40509,639,8,0,0.26,48,0
41,77888,10888,697,2,0,0.46,36,0
56,77021,10011,688,4,0,0.45,60,0
30,43891,6960,586,1,1,0.2,48,0
57,35230,9507,648,10,1,0.09,36,0
29,40138,10595,565,7,2,0.22,60,0
44,64082,20126,691,2,0,0.54,48,0
55,41368,7649,612,4,2,0.31,48,0
55,33682,8973,707,0,1,0.3,60,1
56,48997,36974,630,0,0,0.42,48,0
38,85282,2301,741,3,1,0.16,12,0
59,52446,17821,756,5,1,0.38,24,0
52,42697,6159,685,4,1,0.29,36,0
44,57538,8240,620,4,1,0.27,24,1
43,51124,31382,575,6,1,0.22,36,1
52,18642,13945,726,11,0,0.53,36,1
57,69451,65791,644,2,0,0.37,36,0
32,60097,19459,653,3,2,0.42,48,1
33,49418,8120,618,11,2,0.3,36,1
43,83381,18669,539,3,0,0.48,48,1
45,89904,26317,735,2,1,0.53,48,0
55,73085,18272,643,7,0,0.34,36,1
61,32043,11740,501,10,0,0.18,36,0
50,32602,4843,638,6,1,0.44,24,0
37,85705,11009,541,0,0,0.11,48,0
40,19175,36336,697,3,1,0.28,48,0
45,45504,8283,686,1,3,0.38,36,1
42,61078,10434,770,1,2,0.35,24,0
33,20430,24245,531,3,2,0.68,48,0
39,55114,19376,764,1,1,0.42,48,0
56,79000,6087,691,3,0,0.43,36,0
32,23323,12516,540,5,3,0.4,48,1
61,112317,31075,796,10,3,0.34,48,0
39,29586,13573,640,1,0,0.42,24,0
32,65340,31531,554,1,2,0.36,24,0
29,47014,32619,733,2,3,0.25,48,0
27,50754,7657,562,1,1,0.59,36,0
48,25803,11192,742,2,1,0.32,36,0
34,92063,19822,634,10,2,0.12,60,0
51,57695,5310,622,0,0,0.04,48,1
39,110240,11686,545,2,1,0.27,24,0
36,26141,18540,566,1,1,0.39,36,0
25,44773,9197,662,0,1,0.4,48,0
55,54435,19012,518,0,1,0.03,12,1
32,50523,9319,705,7,1,0.55,36,0
45,68418,9258,608,9,1,0.39,36,0
41,44490,20879,618,6,0,0.37,36,0
56,141635,30358,696,3,1,0.47,24,0
43,50007,8721,633,7,2,0.45,36,0
36,11590,6458,748,0,0,0.5,36,0
59,51128,13064,485,7,2,0.24,36,1
62,92109,17679,714,2,1,0.44,24,0
59,30894,8669,651,6,0,0.51,48,0
34,29930,36185,597,1,2,0.36,24,0
51,32202,12233,725,8,0,0.31,48,0
25,28617,8624,696,4,0,0.38,24,0
55,38572,42574,668,0,3,0.44,36,0
43,77238,28564,629,3,1,0.49,48,0
49,105152,8634,593,1,1,0.05,36,0
63,14586,25343,563,0,1,0.35,24,1
31,40569,9013,759,2,2,0.38,48,0
38,57030,21174,716,1,3,0.33,24,1
32,54248,38808,695,1,2,0.37,24,0
29,126749,6468,615,2,1,0.33,24,1
30,17937,9675,812,0,2,0.26,36,0
64,13432,9803,594,1,3,0.29,36,1
37,137462,15667,619,0,0,0.22,36,0
58,71447,17747,795,0,4,0.28,12,0
27,36839,12664,645,12,1,0.61,48,0
33,53412,4870,789,11,1,0.46,24,0
60,55359,6383,680,8,0,0.3,60,0
62,36396,7862,608,1,2,0.28,12,0
29,52621,18693,634,6,0,0.37,48,1
47,58536,5784,592,4,2,0.26,24,0
22,134291,7721,705,0,2,0.58,48,1
25,79358,6767,747,11,0,0.41,36,0
49,116968,16395,687,31,2,0.13,48,0
57,25039,26345,672,6,1,0.13,36,0
58,41208,14654,566,1,1,0.2,36,1
39,55332,44183,737,4,3,0.31,48,0
28,18759,14652,717,0,0,0.11,24,0
21,88515,12625,672,1,1,0.39,24,0
42,67582,8345,625,6,1,0.31,48,0
37,40799,15090,653,1,0,0.25,48,1
27,44727,8135,577,0,1,0.37,60,0
45,91760,7425,532,0,4,0.67,12,1
24,32934,7298,626,4,2,0.24,24,0
56,93628,11678,581,17,3,0.62,36,0
26,43216,9896,609,3,1,0.29,48,1
51,71538,65699,610,1,1,0.26,36,0
39,51194,15148,643,3,2,0.25,36,1
64,149731,14999,638,4,2,0.5,24,0
59,31454,9593,405,8,1,0.35,60,1
47,36803,84059,677,3,1,0.29,36,1
30,23084,7674,660,0,1,0.01,24,1
46,28328,10054,726,1,3,0.14,36,0
39,70021,24331,632,11,0,0.5,24,0
59,109106,15084,736,1,2,0.54,24,0
23,74105,6224,637,6,0,0.56,48,0
33,48888,13580,677,1,1,0.2,48,1
48,31356,20086,576,6,2,0.44,36,0
40,76819,18164,740,0,1,0.22,24,0
48,30506,19864,753,1,1,0.54,24,0
28,24972,49583,800,2,2,0.47,36,0
61,42014,15723,606,3,1,0.37,36,1
59,17730,21533,692,2,2,0.2,48,0
21,24570,3119,534,4,2,0.54,24,1
23,125868,40918,499,1,2,0.38,36,0
33,22395,13891,695,5,2,0.45,12,1
48,27063,7936,640,3,0,0.13,36,0
45,50813,11882,547,6,3,0.17,36,0
53,52153,19880,664,2,0,0.28,24,0
58,43594,24855,724,10,1,0.79,48,0
26,18003,12617,655,2,0,0.16,24,1
64,74925,19165,748,1,2,0.28,24,0
52,39280,11407,597,4,1,0.3,48,1
41,90239,17943,736,3,1,0.56,24,1
36,35510,15119,619,3,1,0.4,12,1
41,80117,16002,748,7,3,0.12,60,0
31,93717,11085,548,4,0,0.29,24,1
57,38813,17020,668,10,2,0.28,12,0
56,76132,8136,668,4,1,0.12,24,0
55,25228,15014,688,0,0,0.35,24,1
39,55929,9129,621,10,1,0.39,60,1
40,90319,7359,684,9,2,0.51,12,0
38,63528,8748,634,0,1,0.43,48,0
